discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_full_name,country_name,country_code,year
Short Track Speed Skating,beijing-2022,Women's 500m,Women,GOLD,Athlete,,Arianna FONTANA,Italy,ITA,2022
Short Track Speed Skating,beijing-2022,Men's 500m,Men,BRONZE,Athlete,,Steven DUBOIS,Canada,CAN,2022
Short Track Speed Skating,beijing-2022,Men's 500m,Men,GOLD,Athlete,,Shaoang LIU,Hungary,HUN,2022
Short Track Speed Skating,beijing-2022,Men's 500m,Men,SILVER,Athlete,,Konstantin IVLIEV,ROC,ROC,2022
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,GOLD,GameTeam,Canada,,Canada,CAN,2022
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,SILVER,GameTeam,Republic of Korea,,Republic of Korea,KOR,2022
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,BRONZE,GameTeam,Italy,,Italy,ITA,2022
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,People's Republic of China,,People's Republic of China,CHN,2022
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,Italy,,Italy,ITA,2022
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,Hungary,,Hungary,HUN,2022
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,BRONZE,Athlete,,Semen ELISTRATOV,ROC,ROC,2022
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,GOLD,Athlete,,Daeheon HWANG,Republic of Korea,KOR,2022
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,SILVER,Athlete,,Steven DUBOIS,Canada,CAN,2022
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,GOLD,Athlete,,Ziwei REN,People's Republic of China,CHN,2022
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,SILVER,Athlete,,Wenlong LI,People's Republic of China,CHN,2022
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,BRONZE,Athlete,,Shaoang LIU,Hungary,HUN,2022
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,GOLD,GameTeam,Netherlands,,Netherlands,NED,2022
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,SILVER,GameTeam,Republic of Korea,,Republic of Korea,KOR,2022
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,BRONZE,GameTeam,People's Republic of China,,People's Republic of China,CHN,2022
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,GOLD,Athlete,,Suzanne SCHULTING,Netherlands,NED,2022
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,SILVER,Athlete,,Minjeong CHOI,Republic of Korea,KOR,2022
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,BRONZE,Athlete,,Hanne DESMET,Belgium,BEL,2022
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,GOLD,Athlete,,Minjeong CHOI,Republic of Korea,KOR,2022
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,BRONZE,Athlete,,Suzanne SCHULTING,Netherlands,NED,2022
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,SILVER,Athlete,,Arianna FONTANA,Italy,ITA,2022
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,SILVER,Athlete,,Queralt CASTELLET,Spain,ESP,2022
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,BRONZE,Athlete,,Sena TOMITA,Japan,JPN,2022
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,GOLD,Athlete,,Chloe KIM,United States of America,USA,2022
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,United States of America 1,Nick BAUMGARTNER,United States of America,USA,2022
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,United States of America 1,Lindsey JACOBELLIS,United States of America,USA,2022
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Italy 1,Omar VISINTIN,Italy,ITA,2022
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Italy 1,Michela MOIOLI,Italy,ITA,2022
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Canada 1,Eliot GRONDIN,Canada,CAN,2022
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Canada 1,Meryeta ODINE,Canada,CAN,2022
Snowboard,beijing-2022,Women's Snowboard Cross,Women,BRONZE,Athlete,,Meryeta ODINE,Canada,CAN,2022
Snowboard,beijing-2022,Women's Snowboard Cross,Women,SILVER,Athlete,,Chloe TRESPEUCH,France,FRA,2022
Snowboard,beijing-2022,Women's Snowboard Cross,Women,GOLD,Athlete,,Lindsey JACOBELLIS,United States of America,USA,2022
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,SILVER,Athlete,,Tim MASTNAK,Slovenia,SLO,2022
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,GOLD,Athlete,,Benjamin KARL,Austria,AUT,2022
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,BRONZE,Athlete,,Vic WILD,ROC,ROC,2022
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,BRONZE,Athlete,,Kokomo MURASE,Japan,JPN,2022
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,SILVER,Athlete,,Zoi SADOWSKI SYNNOTT,New Zealand,NZL,2022
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,GOLD,Athlete,,Anna GASSER,Austria,AUT,2022
Snowboard,beijing-2022,Men's Snowboard Cross,Men,BRONZE,Athlete,,Omar VISINTIN,Italy,ITA,2022
Snowboard,beijing-2022,Men's Snowboard Cross,Men,SILVER,Athlete,,Eliot GRONDIN,Canada,CAN,2022
Snowboard,beijing-2022,Men's Snowboard Cross,Men,GOLD,Athlete,,Alessandro HAEMMERLE,Austria,AUT,2022
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,GOLD,Athlete,,Max PARROT,Canada,CAN,2022
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,SILVER,Athlete,,Yiming SU,People's Republic of China,CHN,2022
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,BRONZE,Athlete,,Mark MCMORRIS,Canada,CAN,2022
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,BRONZE,Athlete,,Jan SCHERRER,Switzerland,SUI,2022
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,GOLD,Athlete,,Ayumu HIRANO,Japan,JPN,2022
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,SILVER,Athlete,,Scotty JAMES,Australia,AUS,2022
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,BRONZE,Athlete,,Tess COADY,Australia,AUS,2022
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,SILVER,Athlete,,Julia MARINO,United States of America,USA,2022
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,GOLD,Athlete,,Zoi SADOWSKI SYNNOTT,New Zealand,NZL,2022
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,SILVER,Athlete,,Daniela ULBING,Austria,AUT,2022
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,GOLD,Athlete,,Ester LEDECKA,Czech Republic,CZE,2022
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,BRONZE,Athlete,,Gloria KOTNIK,Slovenia,SLO,2022
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,SILVER,Athlete,,Mons ROISLAND,Norway,NOR,2022
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,GOLD,Athlete,,Yiming SU,People's Republic of China,CHN,2022
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,BRONZE,Athlete,,Max PARROT,Canada,CAN,2022
Ski Jumping,beijing-2022,Men's Team,Men,GOLD,GameTeam,Austria,,Austria,AUT,2022
Ski Jumping,beijing-2022,Men's Team,Men,SILVER,GameTeam,Slovenia,,Slovenia,SLO,2022
Ski Jumping,beijing-2022,Men's Team,Men,BRONZE,GameTeam,Germany,,Germany,GER,2022
Ski Jumping,beijing-2022,Men's LH Individual,Men,GOLD,Athlete,,Marius LINDVIK,Norway,NOR,2022
Ski Jumping,beijing-2022,Men's LH Individual,Men,SILVER,Athlete,,Ryoyu KOBAYASHI,Japan,JPN,2022
Ski Jumping,beijing-2022,Men's LH Individual,Men,BRONZE,Athlete,,Karl GEIGER,Germany,GER,2022
Ski Jumping,beijing-2022,Mixed Team,Mixed,GOLD,GameTeam,Slovenia,,Slovenia,SLO,2022
Ski Jumping,beijing-2022,Mixed Team,Mixed,SILVER,GameTeam,ROC,,ROC,ROC,2022
Ski Jumping,beijing-2022,Mixed Team,Mixed,BRONZE,GameTeam,Canada,,Canada,CAN,2022
Ski Jumping,beijing-2022,Women's NH Individual,Women,SILVER,Athlete,,Katharina ALTHAUS,Germany,GER,2022
Ski Jumping,beijing-2022,Women's NH Individual,Women,GOLD,Athlete,,Ursa BOGATAJ,Slovenia,SLO,2022
Ski Jumping,beijing-2022,Women's NH Individual,Women,BRONZE,Athlete,,Nika KRIZNAR,Slovenia,SLO,2022
Ski Jumping,beijing-2022,Men's NH Individual,Men,BRONZE,Athlete,,Dawid KUBACKI,Poland,POL,2022
Ski Jumping,beijing-2022,Men's NH Individual,Men,SILVER,Athlete,,Manuel FETTNER,Austria,AUT,2022
Ski Jumping,beijing-2022,Men's NH Individual,Men,GOLD,Athlete,,Ryoyu KOBAYASHI,Japan,JPN,2022
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,ROC,Mark KONDRATIUK,ROC,ROC,2022
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,ROC,Kamila VALIEVA,ROC,ROC,2022
Figure skating,beijing-2022,Team Event,Mixed,SILVER,GameTeam,United States of America,,United States of America,USA,2022
Figure skating,beijing-2022,Team Event,Mixed,BRONZE,GameTeam,Japan,,Japan,JPN,2022
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,SUI Wenjing / HAN Cong,Wenjing SUI,People's Republic of China,CHN,2022
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,SUI Wenjing / HAN Cong,Cong HAN,People's Republic of China,CHN,2022
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,TARASOVA Evgenia / MOROZOV Vladimir,Evgenia TARASOVA,ROC,ROC,2022
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,TARASOVA Evgenia / MOROZOV Vladimir,Vladimir MOROZOV,ROC,ROC,2022
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,MISHINA Anastasia / GALLIAMOV Aleksandr,Anastasia MISHINA,ROC,ROC,2022
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,MISHINA Anastasia / GALLIAMOV Aleksandr,Aleksandr GALLIAMOV,ROC,ROC,2022
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,PAPADAKIS Gabriella / CIZERON Guillaume,Gabriella PAPADAKIS,France,FRA,2022
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,PAPADAKIS Gabriella / CIZERON Guillaume,Guillaume CIZERON,France,FRA,2022
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,SINITSINA Victoria / KATSALAPOV Nikita,Victoria SINITSINA,ROC,ROC,2022
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,SINITSINA Victoria / KATSALAPOV Nikita,Nikita KATSALAPOV,ROC,ROC,2022
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,HUBBELL Madison / DONOHUE Zachary,Madison HUBBELL,United States of America,USA,2022
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,HUBBELL Madison / DONOHUE Zachary,Zachary DONOHUE,United States of America,USA,2022
Figure skating,beijing-2022,Women Single Skating,Women,GOLD,Athlete,,Anna SHCHERBAKOVA,ROC,ROC,2022
Figure skating,beijing-2022,Women Single Skating,Women,SILVER,Athlete,,Alexandra Trusova,ROC,ROC,2022
Figure skating,beijing-2022,Women Single Skating,Women,BRONZE,Athlete,,Kaori SAKAMOTO,Japan,JPN,2022
Figure skating,beijing-2022,Men Single Skating,Men,BRONZE,Athlete,,Shoma UNO,Japan,JPN,2022
Figure skating,beijing-2022,Men Single Skating,Men,GOLD,Athlete,,Nathan CHEN,United States of America,USA,2022
Figure skating,beijing-2022,Men Single Skating,Men,SILVER,Athlete,,Yuma KAGIYAMA,Japan,JPN,2022
Luge,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,Germany,,Germany,GER,2022
Luge,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,Austria,,Austria,AUT,2022
Luge,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,Latvia,,Latvia,LAT,2022
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,WENDL Tobias / ARLT Tobias,Tobias WENDL,Germany,GER,2022
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,WENDL Tobias / ARLT Tobias,Tobias ARLT,Germany,GER,2022
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,EGGERT Toni / BENECKEN Sascha,Toni EGGERT,Germany,GER,2022
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,EGGERT Toni / BENECKEN Sascha,Sascha BENECKEN,Germany,GER,2022
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,STEU Thomas / KOLLER Lorenz,Thomas STEU,Austria,AUT,2022
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,STEU Thomas / KOLLER Lorenz,Lorenz KOLLER,Austria,AUT,2022
Luge,beijing-2022,Men's Singles,Men,SILVER,Athlete,,Wolfgang KINDL,Austria,AUT,2022
Luge,beijing-2022,Men's Singles,Men,GOLD,Athlete,,Johannes LUDWIG,Germany,GER,2022
Luge,beijing-2022,Men's Singles,Men,BRONZE,Athlete,,Dominik FISCHNALLER,Italy,ITA,2022
Luge,beijing-2022,Women's Singles,Women,SILVER,Athlete,,Anna BERREITER,Germany,GER,2022
Luge,beijing-2022,Women's Singles,Women,BRONZE,Athlete,,Tatyana IVANOVA,ROC,ROC,2022
Luge,beijing-2022,Women's Singles,Women,GOLD,Athlete,,Natalie GEISENBERGER,Germany,GER,2022
Ice Hockey,beijing-2022,Men,Men,GOLD,GameTeam,Finland,,Finland,FIN,2022
Ice Hockey,beijing-2022,Men,Men,SILVER,GameTeam,ROC,,ROC,ROC,2022
Ice Hockey,beijing-2022,Men,Men,BRONZE,GameTeam,Slovakia,,Slovakia,SVK,2022
Ice Hockey,beijing-2022,Women,Women,GOLD,GameTeam,Canada,,Canada,CAN,2022
Ice Hockey,beijing-2022,Women,Women,SILVER,GameTeam,United States,,United States of America,USA,2022
Ice Hockey,beijing-2022,Women,Women,BRONZE,GameTeam,Finland,,Finland,FIN,2022
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,GOLD,Athlete,,Quentin FILLON MAILLET,France,FRA,2022
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,SILVER,Athlete,,Tarjei BOE,Norway,NOR,2022
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,BRONZE,Athlete,,Eduard LATYPOV,ROC,ROC,2022
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,GOLD,GameTeam,Norway,,Norway,NOR,2022
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,SILVER,GameTeam,France,,France,FRA,2022
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,BRONZE,GameTeam,ROC,,ROC,ROC,2022
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,SILVER,Athlete,,Tiril ECKHOFF,Norway,NOR,2022
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,GOLD,Athlete,,Justine BRAISAZ,France,FRA,2022
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,BRONZE,Athlete,,Marte Olsbu ROEISELAND,Norway,NOR,2022
Biathlon,beijing-2022,Women's 10km Pursuit,Women,SILVER,Athlete,,Elvira OEBERG,Sweden,SWE,2022
Biathlon,beijing-2022,Women's 10km Pursuit,Women,BRONZE,Athlete,,Tiril ECKHOFF,Norway,NOR,2022
Biathlon,beijing-2022,Women's 10km Pursuit,Women,GOLD,Athlete,,Marte Olsbu ROEISELAND,Norway,NOR,2022
Biathlon,beijing-2022,Men's 10km Sprint,Men,SILVER,Athlete,,Quentin FILLON MAILLET,France,FRA,2022
Biathlon,beijing-2022,Men's 10km Sprint,Men,GOLD,Athlete,,Johannes Thingnes BOE,Norway,NOR,2022
Biathlon,beijing-2022,Men's 10km Sprint,Men,BRONZE,Athlete,,Tarjei BOE,Norway,NOR,2022
Biathlon,beijing-2022,Women's 7.5km Sprint,Women,SILVER,Athlete,,Elvira OEBERG,Sweden,SWE,2022
Biathlon,beijing-2022,Women's 7.5km Sprint,Women,GOLD,Athlete,,Marte Olsbu ROEISELAND,Norway,NOR,2022
Biathlon,beijing-2022,Women's 7.5km Sprint,Women,BRONZE,Athlete,,Dorothea WIERER,Italy,ITA,2022
Biathlon,beijing-2022,Women's 4x6km Relay,Women,GOLD,GameTeam,Sweden,,Sweden,SWE,2022
Biathlon,beijing-2022,Women's 4x6km Relay,Women,SILVER,GameTeam,ROC,,ROC,ROC,2022
Biathlon,beijing-2022,Women's 4x6km Relay,Women,BRONZE,GameTeam,Germany,,Germany,GER,2022
Biathlon,beijing-2022,Men's 15km Mass Start,Men,SILVER,Athlete,,Martin PONSILUOMA,Sweden,SWE,2022
Biathlon,beijing-2022,Men's 15km Mass Start,Men,BRONZE,Athlete,,Vetle Sjaastad CHRISTIANSEN,Norway,NOR,2022
Biathlon,beijing-2022,Men's 15km Mass Start,Men,GOLD,Athlete,,Johannes Thingnes BOE,Norway,NOR,2022
Biathlon,beijing-2022,Men's 20km Individual,Men,BRONZE,Athlete,,Johannes Thingnes BOE,Norway,NOR,2022
Biathlon,beijing-2022,Men's 20km Individual,Men,SILVER,Athlete,,Anton SMOLSKI,Belarus,BLR,2022
Biathlon,beijing-2022,Men's 20km Individual,Men,GOLD,Athlete,,Quentin FILLON MAILLET,France,FRA,2022
Biathlon,beijing-2022,Men's 4x7.5km Relay,Men,GOLD,GameTeam,Norway,,Norway,NOR,2022
Biathlon,beijing-2022,Men's 4x7.5km Relay,Men,SILVER,GameTeam,France,,France,FRA,2022
Biathlon,beijing-2022,Men's 4x7.5km Relay,Men,BRONZE,GameTeam,ROC,,ROC,ROC,2022
Biathlon,beijing-2022,Women's 15km Individual,Women,GOLD,Athlete,,Denise HERRMANN,Germany,GER,2022
Biathlon,beijing-2022,Women's 15km Individual,Women,SILVER,Athlete,,Anais CHEVALIER,France,FRA,2022
Biathlon,beijing-2022,Women's 15km Individual,Women,BRONZE,Athlete,,Marte Olsbu ROEISELAND,Norway,NOR,2022
Alpine Skiing,beijing-2022,Men's Slalom,Men,GOLD,Athlete,,Clement NOEL,France,FRA,2022
Alpine Skiing,beijing-2022,Men's Slalom,Men,SILVER,Athlete,,Johannes STROLZ,Austria,AUT,2022
Alpine Skiing,beijing-2022,Men's Slalom,Men,BRONZE,Athlete,,Sebastian FOSS-SOLEVAAG,Norway,NOR,2022
Alpine Skiing,beijing-2022,Men's Downhill,Men,GOLD,Athlete,,Beat FEUZ,Switzerland,SUI,2022
Alpine Skiing,beijing-2022,Men's Downhill,Men,SILVER,Athlete,,Johan CLAREY,France,FRA,2022
Alpine Skiing,beijing-2022,Men's Downhill,Men,BRONZE,Athlete,,Matthias MAYER,Austria,AUT,2022
Alpine Skiing,beijing-2022,Women's Super-G,Women,SILVER,Athlete,,Mirjam PUCHNER,Austria,AUT,2022
Alpine Skiing,beijing-2022,Women's Super-G,Women,BRONZE,Athlete,,Michelle GISIN,Switzerland,SUI,2022
Alpine Skiing,beijing-2022,Women's Super-G,Women,GOLD,Athlete,,Lara GUT - BEHRAMI,Switzerland,SUI,2022
Alpine Skiing,beijing-2022,Men's Super-G,Men,GOLD,Athlete,,Matthias MAYER,Austria,AUT,2022
Alpine Skiing,beijing-2022,Men's Super-G,Men,BRONZE,Athlete,,Aleksander Aamodt KILDE,Norway,NOR,2022
Alpine Skiing,beijing-2022,Men's Super-G,Men,SILVER,Athlete,,Ryan COCHRAN-SIEGLE,United States of America,USA,2022
Alpine Skiing,beijing-2022,Women's Downhill,Women,GOLD,Athlete,,Corinne SUTER,Switzerland,SUI,2022
Alpine Skiing,beijing-2022,Women's Downhill,Women,SILVER,Athlete,,Sofia GOGGIA,Italy,ITA,2022
Alpine Skiing,beijing-2022,Women's Downhill,Women,BRONZE,Athlete,,Nadia DELAGO,Italy,ITA,2022
Alpine Skiing,beijing-2022,Mixed Team Parallel,Mixed,GOLD,GameTeam,Austria,,Austria,AUT,2022
Alpine Skiing,beijing-2022,Mixed Team Parallel,Mixed,SILVER,GameTeam,Germany,,Germany,GER,2022
